Judas Priest\Killing Machine [Hell Bent For Leather]
Delivering The Goods\https://drive.google.com/uc?export=download&id=0B5FXJpkoiLSsR1o3TE9zQzVuVkk
Rock Forever\https://drive.google.com/uc?export=download&id=0B5FXJpkoiLSsZzlJU2hyR1Bpc3M
Evening Star\https://drive.google.com/uc?export=download&id=0B5FXJpkoiLSsNFZCX3g3a2t4T28
Hell Bent For Leather\https://drive.google.com/uc?export=download&id=0B5FXJpkoiLSsbHhtckx2QXp3TlU
Take On The World\https://drive.google.com/uc?export=download&id=0B5FXJpkoiLSsRzk0Nk9JV1FGdWc
Burnin' Up\https://drive.google.com/uc?export=download&id=0B5FXJpkoiLSsajVxdXpKQWlhbGc
The Green Manalishi [With The Two - Pronged Crown] [Fleetwood Mac Cover]\https://drive.google.com/uc?export=download&id=0B5FXJpkoiLSsMzJJdldoUWpHRzA
Killing Machine\https://drive.google.com/uc?export=download&id=0B5FXJpkoiLSsMFkwT1ZKTHl4V3c
Running Wild\https://drive.google.com/uc?export=download&id=0B5FXJpkoiLSsU19tS3NVRV9wM2s
Before The Dawn\https://drive.google.com/uc?export=download&id=0B5FXJpkoiLSsWTMxY0lEUi1rQ2s
Evil Fantasies\https://drive.google.com/uc?export=download&id=0B5FXJpkoiLSsTkZNaE5LcldobUE
