Arctic Monkeys\Whatever People Say I Am, That's What I'm Not
The View From The Afternoon\Arctic_Monkeys/[2006] Whatever People Say I Am, That`s What I`m Not/01 - The View From The Afternoon.mp3
I Bet You Look Good On The Dancefloor\Arctic_Monkeys/[2006] Whatever People Say I Am, That`s What I`m Not/02 - I Bet You Look Good On The Dancefloor.mp3
Fake Tales Of San Francisco\Arctic_Monkeys/[2006] Whatever People Say I Am, That`s What I`m Not/03 - Fake Tales Of San Francisco.mp3
Dancing Shoes\Arctic_Monkeys/[2006] Whatever People Say I Am, That`s What I`m Not/04 - Dancing Shoes.mp3
You Probably Couldn't See For The Lights But You Were Staring Straight At Me\Arctic_Monkeys/[2006] Whatever People Say I Am, That`s What I`m Not/05 - You Probably Couldn_t See For The Lights But You Were Staring Straight At Me.mp3
Still Take You Home\Arctic_Monkeys/[2006] Whatever People Say I Am, That`s What I`m Not/06 - Still Take You Home.mp3
Riot Van\Arctic_Monkeys/[2006] Whatever People Say I Am, That`s What I`m Not/07 - Riot Van.mp3
Red Light Indicates Doors Are Secured\Arctic_Monkeys/[2006] Whatever People Say I Am, That`s What I`m Not/08 - Red Light Indicates Doors Are Secured.mp3
Mardy Bum\Arctic_Monkeys/[2006] Whatever People Say I Am, That`s What I`m Not/09 - Mardy Bum.mp3
Perhaps Vampires Is A Bit Strong But\Arctic_Monkeys/[2006] Whatever People Say I Am, That`s What I`m Not/10 - Perhaps Vampires Is A Bit Strong But.mp3
When The Sun Goes Down\Arctic_Monkeys/[2006] Whatever People Say I Am, That`s What I`m Not/11 - When The Sun Goes Down.mp3
From The Ritz To The Rubble\Arctic_Monkeys/[2006] Whatever People Say I Am, That`s What I`m Not/12 - From The Ritz To The Rubble.mp3
A Certain Romance\Arctic_Monkeys/[2006] Whatever People Say I Am, That`s What I`m Not/13 - A Certain Romance.mp3
