Limp Bizkit\Results May Vary
Re-Entry\https://drive.google.com/uc?export=download&id=0Bx1nUKpWwAwLSkJ5d20yYzNxcDA
Eat You Alive\https://drive.google.com/uc?export=download&id=0Bx1nUKpWwAwLUU5kMDBnOWNFUkU
Gimme the Mic\https://drive.google.com/uc?export=download&id=0Bx1nUKpWwAwLeXVObmplNnVBZG8
Underneath the Gun\https://drive.google.com/uc?export=download&id=0Bx1nUKpWwAwLZmd2RVA4SHQxaUE
Down Another Day\https://drive.google.com/uc?export=download&id=0Bx1nUKpWwAwLdGlJcHQ3TXZ4cmc
Almost Over\https://drive.google.com/uc?export=download&id=0Bx1nUKpWwAwLRkxEWFo4dzNodkU
Build a Bridge\https://drive.google.com/uc?export=download&id=0Bx1nUKpWwAwLV2VUMEVaOUNrb2s
Red Light-Green Light\https://drive.google.com/uc?export=download&id=0Bx1nUKpWwAwLV2UwQU5mMlJlRzg
The Only One\https://drive.google.com/uc?export=download&id=0Bx1nUKpWwAwLV1B0MERsazFfQmM
Let Me Down\https://drive.google.com/uc?export=download&id=0Bx1nUKpWwAwLeEdUOExDcEJtdkk
Lonely World\https://drive.google.com/uc?export=download&id=0Bx1nUKpWwAwLTVI0OFpyMG9hZ3c
Phenomenon\https://drive.google.com/uc?export=download&id=0Bx1nUKpWwAwLdHV5N1ROcFVHMzA
Creamer (Radio Is Dead)\https://drive.google.com/uc?export=download&id=0Bx1nUKpWwAwLWGxTOGo3TjhwR28
Head for the Barricade\https://drive.google.com/uc?export=download&id=0Bx1nUKpWwAwLcVVqS2NxS0xWbG8
Behind Blue Eyes\https://drive.google.com/uc?export=download&id=0Bx1nUKpWwAwLc0ZwU3NaVS1Bb3M\http://www.azlyrics.com/lyrics/limpbizkit/behindblueeyes.html
Drown\https://drive.google.com/uc?export=download&id=0Bx1nUKpWwAwLM1VLMnV5U1JHWEU
